lga,indicator,percentage,vic_point_est,vic_lower,vic_upper,comparison
Corangamite (S),Heart disease,8.838882,6.74474,6.381202,7.127412,Significantly higher
Corangamite (S),Osteoporosis,4.502877,5.669229,5.326293,6.032838,Significantly lower
Corangamite (S),Stroke,1.764559,2.364184,2.142138,2.608632,Significantly lower
Corangamite (S),Two or more chronic diseases,28.14964,25.48854,24.80298,26.18645,Significantly higher
Corangamite (S),Had a blood lipids test in last 2 years,50.8351,56.78789,55.95063,57.62128,Significantly lower
Corangamite (S),Had a blood pressure test in last 2 years,75.05487,79.5963,78.80486,80.36555,Significantly lower
Corangamite (S),Had a blood glucose test in last 2 years,48.6569,50.72365,49.86354,51.58334,Significantly lower
Corangamite (S),Had a faecal occult blood test 50 years of age,60.2981,60.14296,58.76671,61.50336,Not sig. diff.
Corangamite (S),Had a bowel exam to detect cancer last 5 years,53.92874,46.75256,45.59576,47.91285,Significantly higher
Corangamite (S),Had a mammogram to detect cancer in last 2 years,77.23373,79.2266,77.66267,80.70823,Significantly lower
Darebin (C),Obese,16.65411,19.26897,18.58293,19.97411,Significantly lower
Darebin (C),Overweight,47.55679,50.80429,49.90919,51.69888,Significantly lower
Darebin (C),Daily consumer of sugar sweetened soft drinks,6.295947,10.09867,9.516874,10.71183,Significantly lower
Darebin (C),Take away food consumed >1 day/week,11.46164,15.2893,14.59565,16.00974,Significantly lower
Darebin (C),Sedentary (inactive),4.078648,2.539791,2.256574,2.857514,Significantly higher
Darebin (C),Insufficiently physically active,48.47331,44.08774,43.18836,44.99101,Significantly higher
Darebin (C),Complied with vegetable consumption guidelines,5.057326,5.388293,5.0284,5.77238,Not sig. diff.
Darebin (C),Complied with fruit consumption guidelines,42.75292,43.19355,42.28772,44.10395,Not sig. diff.
Darebin (C),Daily smoker,13.35102,12.42754,11.80477,13.0783,Significantly higher
Darebin (C),Current (i.e. daily or occasional smoker),19.82265,16.741,16.03742,17.46903,Significantly higher
Darebin (C),Increased lifetime risk of alcohol related harm,62.45754,59.48907,58.59407,60.37781,Significantly higher
Darebin (C),Incr. risk of injury from a single occasion of drinking,47.14262,42.98549,42.10708,43.86834,Significantly higher
Darebin (C),Fair or poor self reported health,24.19659,20.28965,19.55869,21.04079,Significantly higher
Darebin (C),Low or medium life satisfaction,22.85659,20.45532,19.69321,21.23913,Significantly higher
Darebin (C),High or very high levels of psychological distress,19.76,15.43,14.75,16.14,Significantly higher
Darebin (C),Doctor diagnosed hypertension,26.30647,25.42567,24.74985,26.11354,Significantly higher
Darebin (C),Anxiety or depression,29.46702,27.36389,26.566,28.17655,Significantly higher
Darebin (C),Arthritis,20.23725,20.54975,19.97896,21.13254,Not sig. diff.
Darebin (C),Asthma ever diagnosed,18.62871,19.9574,19.24135,20.69326,Significantly lower
Darebin (C),Cancer,5.931137,8.055676,7.650898,8.479904,Significantly lower
Darebin (C),Type 2 diabetes,6.412799,5.452335,5.114101,5.81157,Significantly higher
Darebin (C),Heart disease,5.205822,6.74474,6.381202,7.127412,Significantly lower
Darebin (C),Osteoporosis,8.005552,5.669229,5.326293,6.032838,Significantly higher
Darebin (C),Stroke,2.988626,2.364184,2.142138,2.608632,Significantly higher
Darebin (C),Two or more chronic diseases,27.59482,25.48854,24.80298,26.18645,Significantly higher
Darebin (C),Had a blood lipids test in last 2 years,55.85059,56.78789,55.95063,57.62128,Significantly lower
Darebin (C),Had a blood pressure test in last 2 years,78.49502,79.5963,78.80486,80.36555,Significantly lower
Darebin (C),Had a blood glucose test in last 2 years,46.9252,50.72365,49.86354,51.58334,Significantly lower
Darebin (C),Had a faecal occult blood test 50 years of age,56.24388,60.14296,58.76671,61.50336,Significantly lower
Darebin (C),Had a bowel exam to detect cancer last 5 years,43.13543,46.75256,45.59576,47.91285,Significantly lower
Darebin (C),Had a mammogram to detect cancer in last 2 years,81.01536,79.2266,77.66267,80.70823,Significantly higher
East Gippsland (S),Obese,20.91877,19.26897,18.58293,19.97411,Significantly higher
East Gippsland (S),Overweight,59.7717,50.80429,49.90919,51.69888,Significantly higher
East Gippsland (S),Daily consumer of sugar sweetened soft drinks,9.805712,10.09867,9.516874,10.71183,Not sig. diff.
East Gippsland (S),Take away food consumed >1 day/week,19.61678,15.2893,14.59565,16.00974,Significantly higher
East Gippsland (S),Sedentary (inactive),1.154523,2.539791,2.256574,2.857514,Significantly lower
East Gippsland (S),Insufficiently physically active,48.85729,44.08774,43.18836,44.99101,Significantly higher
East Gippsland (S),Complied with vegetable consumption guidelines,6.70138,5.388293,5.0284,5.77238,Significantly higher
East Gippsland (S),Complied with fruit consumption guidelines,44.82524,43.19355,42.28772,44.10395,Significantly higher
East Gippsland (S),Daily smoker,13.74437,12.42754,11.80477,13.0783,Significantly higher
East Gippsland (S),Current (i.e. daily or occasional smoker),15.2949,16.741,16.03742,17.46903,Significantly lower
East Gippsland (S),Increased lifetime risk of alcohol related harm,67.24885,59.48907,58.59407,60.37781,Significantly higher
East Gippsland (S),Incr. risk of injury from a single occasion of drinking,55.66541,42.98549,42.10708,43.86834,Significantly higher
East Gippsland (S),Fair or poor self reported health,18.68087,20.28965,19.55869,21.04079,Significantly lower
East Gippsland (S),Low or medium life satisfaction,17.94771,20.45532,19.69321,21.23913,Significantly lower
East Gippsland (S),High or very high levels of psychological distress,11.59,15.43,14.75,16.14,Significantly lower
East Gippsland (S),Doctor diagnosed hypertension,23.88803,25.42567,24.74985,26.11354,Significantly lower
East Gippsland (S),Anxiety or depression,33.8366,27.36389,26.566,28.17655,Significantly higher
East Gippsland (S),Arthritis,30.4264,20.54975,19.97896,21.13254,Significantly higher
East Gippsland (S),Asthma ever diagnosed,17.12588,19.9574,19.24135,20.69326,Significantly lower
East Gippsland (S),Cancer,7.434977,8.055676,7.650898,8.479904,Significantly lower
East Gippsland (S),Type 2 diabetes,4.638208,5.452335,5.114101,5.81157,Significantly lower
East Gippsland (S),Heart disease,5.573805,6.74474,6.381202,7.127412,Significantly lower
East Gippsland (S),Osteoporosis,8.154709,5.669229,5.326293,6.032838,Significantly higher
East Gippsland (S),Stroke,1.68652,2.364184,2.142138,2.608632,Significantly lower
East Gippsland (S),Two or more chronic diseases,29.63598,25.48854,24.80298,26.18645,Significantly higher
East Gippsland (S),Had a blood lipids test in last 2 years,45.70149,56.78789,55.95063,57.62128,Significantly lower
East Gippsland (S),Had a blood pressure test in last 2 years,67.2845,79.5963,78.80486,80.36555,Significantly lower
East Gippsland (S),Had a blood glucose test in last 2 years,44.22323,50.72365,49.86354,51.58334,Significantly lower
East Gippsland (S),Had a faecal occult blood test 50 years of age,68.57563,60.14296,58.76671,61.50336,Significantly higher
East Gippsland (S),Had a bowel exam to detect cancer last 5 years,54.39491,46.75256,45.59576,47.91285,Significantly higher
East Gippsland (S),Had a mammogram to detect cancer in last 2 years,79.42589,79.2266,77.66267,80.70823,Not sig. diff.
Frankston (C),Obese,24.92895,19.26897,18.58293,19.97411,Significantly higher
Frankston (C),Overweight,57.00247,50.80429,49.90919,51.69888,Significantly higher
Frankston (C),Daily consumer of sugar sweetened soft drinks,14.39598,10.09867,9.516874,10.71183,Significantly higher
Frankston (C),Take away food consumed >1 day/week,15.55572,15.2893,14.59565,16.00974,Not sig. diff.
Frankston (C),Sedentary (inactive),1.255892,2.539791,2.256574,2.857514,Significantly lower
Frankston (C),Insufficiently physically active,45.06136,44.08774,43.18836,44.99101,Significantly higher
Frankston (C),Complied with vegetable consumption guidelines,7.652047,5.388293,5.0284,5.77238,Significantly higher
Frankston (C),Complied with fruit consumption guidelines,41.53513,43.19355,42.28772,44.10395,Significantly lower
Frankston (C),Daily smoker,18.36125,12.42754,11.80477,13.0783,Significantly higher
Frankston (C),Current (i.e. daily or occasional smoker),21.59722,16.741,16.03742,17.46903,Significantly higher
Frankston (C),Increased lifetime risk of alcohol related harm,65.75618,59.48907,58.59407,60.37781,Significantly higher
Frankston (C),Incr. risk of injury from a single occasion of drinking,48.46462,42.98549,42.10708,43.86834,Significantly higher
Frankston (C),Fair or poor self reported health,25.28504,20.28965,19.55869,21.04079,Significantly higher
Frankston (C),Low or medium life satisfaction,22.38907,20.45532,19.69321,21.23913,Significantly higher
Frankston (C),High or very high levels of psychological distress,20.95,15.43,14.75,16.14,Significantly higher
Frankston (C),Doctor diagnosed hypertension,26.80808,25.42567,24.74985,26.11354,Significantly higher
Frankston (C),Anxiety or depression,34.93729,27.36389,26.566,28.17655,Significantly higher
Frankston (C),Arthritis,21.93298,20.54975,19.97896,21.13254,Significantly higher
Frankston (C),Asthma ever diagnosed,22.68066,19.9574,19.24135,20.69326,Significantly higher
Frankston (C),Cancer,8.825249,8.055676,7.650898,8.479904,Significantly higher
Frankston (C),Type 2 diabetes,7.081467,5.452335,5.114101,5.81157,Significantly higher
Frankston (C),Heart disease,6.959429,6.74474,6.381202,7.127412,Not sig. diff.
Frankston (C),Osteoporosis,3.924235,5.669229,5.326293,6.032838,Significantly lower
Frankston (C),Stroke,2.288813,2.364184,2.142138,2.608632,Not sig. diff.
Frankston (C),Two or more chronic diseases,28.11929,25.48854,24.80298,26.18645,Significantly higher
Frankston (C),Had a blood lipids test in last 2 years,57.22321,56.78789,55.95063,57.62128,Not sig. diff.
Frankston (C),Had a blood pressure test in last 2 years,79.28755,79.5963,78.80486,80.36555,Not sig. diff.
Frankston (C),Had a blood glucose test in last 2 years,52.3317,50.72365,49.86354,51.58334,Significantly higher
Frankston (C),Had a faecal occult blood test 50 years of age,56.45316,60.14296,58.76671,61.50336,Significantly lower
Frankston (C),Had a bowel exam to detect cancer last 5 years,48.85607,46.75256,45.59576,47.91285,Significantly higher
Frankston (C),Had a mammogram to detect cancer in last 2 years,69.10015,79.2266,77.66267,80.70823,Significantly lower
Gannawarra (S),Obese,31.59719,19.26897,18.58293,19.97411,Significantly higher
Gannawarra (S),Overweight,64.24845,50.80429,49.90919,51.69888,Significantly higher
Gannawarra (S),Daily consumer of sugar sweetened soft drinks,17.72608,10.09867,9.516874,10.71183,Significantly higher
Gannawarra (S),Take away food consumed >1 day/week,11.34263,15.2893,14.59565,16.00974,Significantly lower
Gannawarra (S),Sedentary (inactive),4.236348,2.539791,2.256574,2.857514,Significantly higher
Gannawarra (S),Insufficiently physically active,34.05159,44.08774,43.18836,44.99101,Significantly lower
Gannawarra (S),Complied with vegetable consumption guidelines,2.948822,5.388293,5.0284,5.77238,Significantly lower
Gannawarra (S),Complied with fruit consumption guidelines,33.47966,43.19355,42.28772,44.10395,Significantly lower
Gannawarra (S),Daily smoker,15.3253,12.42754,11.80477,13.0783,Significantly higher
Gannawarra (S),Current (i.e. daily or occasional smoker),21.78224,16.741,16.03742,17.46903,Significantly higher
Gannawarra (S),Increased lifetime risk of alcohol related harm,62.87504,59.48907,58.59407,60.37781,Significantly higher
Gannawarra (S),Incr. risk of injury from a single occasion of drinking,47.72201,42.98549,42.10708,43.86834,Significantly higher
Gannawarra (S),Fair or poor self reported health,21.65035,20.28965,19.55869,21.04079,Significantly higher
Gannawarra (S),Low or medium life satisfaction,29.03738,20.45532,19.69321,21.23913,Significantly higher
Gannawarra (S),High or very high levels of psychological distress,21.02,15.43,14.75,16.14,Significantly higher
Gannawarra (S),Doctor diagnosed hypertension,37.91748,25.42567,24.74985,26.11354,Significantly higher
Gannawarra (S),Anxiety or depression,32.25313,27.36389,26.566,28.17655,Significantly higher
Gannawarra (S),Arthritis,30.38161,20.54975,19.97896,21.13254,Significantly higher
Gannawarra (S),Asthma ever diagnosed,28.95207,19.9574,19.24135,20.69326,Significantly higher
Gannawarra (S),Cancer,11.63132,8.055676,7.650898,8.479904,Significantly higher
Gannawarra (S),Type 2 diabetes,7.154628,5.452335,5.114101,5.81157,Significantly higher
Gannawarra (S),Heart disease,6.627399,6.74474,6.381202,7.127412,Not sig. diff.
Gannawarra (S),Osteoporosis,8.096555,5.669229,5.326293,6.032838,Significantly higher
Gannawarra (S),Stroke,1.422296,2.364184,2.142138,2.608632,Significantly lower
Gannawarra (S),Two or more chronic diseases,33.17893,25.48854,24.80298,26.18645,Significantly higher
Gannawarra (S),Had a blood lipids test in last 2 years,55.7066,56.78789,55.95063,57.62128,Significantly lower
Gannawarra (S),Had a blood pressure test in last 2 years,78.21044,79.5963,78.80486,80.36555,Significantly lower
Gannawarra (S),Had a blood glucose test in last 2 years,53.35409,50.72365,49.86354,51.58334,Significantly higher
Gannawarra (S),Had a faecal occult blood test 50 years of age,72.69148,60.14296,58.76671,61.50336,Significantly higher
Gannawarra (S),Had a bowel exam to detect cancer last 5 years,56.42361,46.75256,45.59576,47.91285,Significantly higher
Gannawarra (S),Had a mammogram to detect cancer in last 2 years,79.67625,79.2266,77.66267,80.70823,Not sig. diff.
Glen Eira (C),Obese,14.35141,19.26897,18.58293,19.97411,Significantly lower
Glen Eira (C),Overweight,45.91478,50.80429,49.90919,51.69888,Significantly lower
Glen Eira (C),Daily consumer of sugar sweetened soft drinks,4.131231,10.09867,9.516874,10.71183,Significantly lower
Glen Eira (C),Take away food consumed >1 day/week,18.207,15.2893,14.59565,16.00974,Significantly higher
Glen Eira (C),Sedentary (inactive),1.531563,2.539791,2.256574,2.857514,Significantly lower
Glen Eira (C),Insufficiently physically active,42.81091,44.08774,43.18836,44.99101,Significantly lower
Glen Eira (C),Complied with vegetable consumption guidelines,4.838907,5.388293,5.0284,5.77238,Significantly lower
Glen Eira (C),Complied with fruit consumption guidelines,51.49288,43.19355,42.28772,44.10395,Significantly higher
Glen Eira (C),Daily smoker,8.005789,12.42754,11.80477,13.0783,Significantly lower
Glen Eira (C),Current (i.e. daily or occasional smoker),11.64028,16.741,16.03742,17.46903,Significantly lower
Glen Eira (C),Increased lifetime risk of alcohol related harm,62.47261,59.48907,58.59407,60.37781,Significantly higher
Glen Eira (C),Incr. risk of injury from a single occasion of drinking,42.79708,42.98549,42.10708,43.86834,Not sig. diff.
Glen Eira (C),Fair or poor self reported health,19.88166,20.28965,19.55869,21.04079,Not sig. diff.
Glen Eira (C),Low or medium life satisfaction,18.01798,20.45532,19.69321,21.23913,Significantly lower
Glen Eira (C),High or very high levels of psychological distress,9.37,15.43,14.75,16.14,Significantly lower
Glen Eira (C),Doctor diagnosed hypertension,24.9843,25.42567,24.74985,26.11354,Not sig. diff.
Glen Eira (C),Anxiety or depression,21.13229,27.36389,26.566,28.17655,Significantly lower
Glen Eira (C),Arthritis,17.1722,20.54975,19.97896,21.13254,Significantly lower
Glen Eira (C),Asthma ever diagnosed,20.68897,19.9574,19.24135,20.69326,Not sig. diff.
Glen Eira (C),Cancer,6.616433,8.055676,7.650898,8.479904,Significantly lower
Glen Eira (C),Type 2 diabetes,3.905139,5.452335,5.114101,5.81157,Significantly lower
Glen Eira (C),Heart disease,7.213111,6.74474,6.381202,7.127412,Significantly higher
Glen Eira (C),Osteoporosis,5.792933,5.669229,5.326293,6.032838,Not sig. diff.
Glen Eira (C),Stroke,1.994945,2.364184,2.142138,2.608632,Significantly lower
Glen Eira (C),Two or more chronic diseases,20.64594,25.48854,24.80298,26.18645,Significantly lower
Glen Eira (C),Had a blood lipids test in last 2 years,52.6777,56.78789,55.95063,57.62128,Significantly lower
Glen Eira (C),Had a blood pressure test in last 2 years,76.0164,79.5963,78.80486,80.36555,Significantly lower
Glen Eira (C),Had a blood glucose test in last 2 years,46.41939,50.72365,49.86354,51.58334,Significantly lower
Glen Eira (C),Had a faecal occult blood test 50 years of age,58.27548,60.14296,58.76671,61.50336,Significantly lower
Glen Eira (C),Had a bowel exam to detect cancer last 5 years,47.83227,46.75256,45.59576,47.91285,Not sig. diff.
Glen Eira (C),Had a mammogram to detect cancer in last 2 years,85.06245,79.2266,77.66267,80.70823,Significantly higher
Glenelg (S),Obese,26.33357,19.26897,18.58293,19.97411,Significantly higher
Glenelg (S),Overweight,52.7444,50.80429,49.90919,51.69888,Significantly higher
Glenelg (S),Daily consumer of sugar sweetened soft drinks,7.994533,10.09867,9.516874,10.71183,Significantly lower
Glenelg (S),Take away food consumed >1 day/week,16.09448,15.2893,14.59565,16.00974,Significantly higher
Glenelg (S),Sedentary (inactive),1.442931,2.539791,2.256574,2.857514,Significantly lower
Glenelg (S),Insufficiently physically active,39.01686,44.08774,43.18836,44.99101,Significantly lower
Glenelg (S),Complied with vegetable consumption guidelines,4.263224,5.388293,5.0284,5.77238,Significantly lower
Glenelg (S),Complied with fruit consumption guidelines,38.32248,43.19355,42.28772,44.10395,Significantly lower
Glenelg (S),Daily smoker,16.82881,12.42754,11.80477,13.0783,Significantly higher
Glenelg (S),Current (i.e. daily or occasional smoker),24.41593,16.741,16.03742,17.46903,Significantly higher
Glenelg (S),Increased lifetime risk of alcohol related harm,62.4332,59.48907,58.59407,60.37781,Significantly higher
Glenelg (S),Incr. risk of injury from a single occasion of drinking,49.5008,42.98549,42.10708,43.86834,Significantly higher
Glenelg (S),Fair or poor self reported health,19.37012,20.28965,19.55869,21.04079,Significantly lower
Glenelg (S),Low or medium life satisfaction,20.1841,20.45532,19.69321,21.23913,Not sig. diff.
Glenelg (S),High or very high levels of psychological distress,15.47,15.43,14.75,16.14,Not sig. diff.
Glenelg (S),Doctor diagnosed hypertension,30.10091,25.42567,24.74985,26.11354,Significantly higher
Glenelg (S),Anxiety or depression,27.77548,27.36389,26.566,28.17655,Not sig. diff.
Glenelg (S),Arthritis,25.10514,20.54975,19.97896,21.13254,Significantly higher
Glenelg (S),Asthma ever diagnosed,16.64551,19.9574,19.24135,20.69326,Significantly lower
Glenelg (S),Cancer,12.07848,8.055676,7.650898,8.479904,Significantly higher
Glenelg (S),Type 2 diabetes,5.529008,5.452335,5.114101,5.81157,Not sig. diff.
Glenelg (S),Heart disease,7.956563,6.74474,6.381202,7.127412,Significantly higher
Glenelg (S),Osteoporosis,5.362461,5.669229,5.326293,6.032838,Not sig. diff.
Glenelg (S),Stroke,2.283701,2.364184,2.142138,2.608632,Not sig. diff.
Glenelg (S),Two or more chronic diseases,26.51151,25.48854,24.80298,26.18645,Significantly higher
Glenelg (S),Had a blood lipids test in last 2 years,51.23652,56.78789,55.95063,57.62128,Significantly lower
Glenelg (S),Had a blood pressure test in last 2 years,82.63634,79.5963,78.80486,80.36555,Significantly higher
Glenelg (S),Had a blood glucose test in last 2 years,47.77921,50.72365,49.86354,51.58334,Significantly lower
Glenelg (S),Had a faecal occult blood test 50 years of age,58.32081,60.14296,58.76671,61.50336,Significantly lower
Glenelg (S),Had a bowel exam to detect cancer last 5 years,39.74744,46.75256,45.59576,47.91285,Significantly lower
Glenelg (S),Had a mammogram to detect cancer in last 2 years,76.81408,79.2266,77.66267,80.70823,Significantly lower
Golden Plains (S),Obese,24.43056,19.26897,18.58293,19.97411,Significantly higher
Golden Plains (S),Overweight,54.97381,50.80429,49.90919,51.69888,Significantly higher
Golden Plains (S),Daily consumer of sugar sweetened soft drinks,13.13768,10.09867,9.516874,10.71183,Significantly higher
Golden Plains (S),Take away food consumed >1 day/week,14.31182,15.2893,14.59565,16.00974,Significantly lower
Golden Plains (S),Sedentary (inactive),1.811958,2.539791,2.256574,2.857514,Significantly lower
Golden Plains (S),Insufficiently physically active,33.70274,44.08774,43.18836,44.99101,Significantly lower
Golden Plains (S),Complied with vegetable consumption guidelines,5.232655,5.388293,5.0284,5.77238,Not sig. diff.
Golden Plains (S),Complied with fruit consumption guidelines,35.06186,43.19355,42.28772,44.10395,Significantly lower
Golden Plains (S),Daily smoker,18.23696,12.42754,11.80477,13.0783,Significantly higher
Golden Plains (S),Current (i.e. daily or occasional smoker),21.0689,16.741,16.03742,17.46903,Significantly higher
Golden Plains (S),Increased lifetime risk of alcohol related harm,64.30083,59.48907,58.59407,60.37781,Significantly higher
Golden Plains (S),Incr. risk of injury from a single occasion of drinking,49.46252,42.98549,42.10708,43.86834,Significantly higher
Golden Plains (S),Fair or poor self reported health,20.20482,20.28965,19.55869,21.04079,Not sig. diff.
Golden Plains (S),Low or medium life satisfaction,19.65069,20.45532,19.69321,21.23913,Significantly lower
Golden Plains (S),High or very high levels of psychological distress,10.57,15.43,14.75,16.14,Significantly lower
Golden Plains (S),Doctor diagnosed hypertension,29.70545,25.42567,24.74985,26.11354,Significantly higher
Golden Plains (S),Anxiety or depression,26.26145,27.36389,26.566,28.17655,Significantly lower
Golden Plains (S),Arthritis,22.48032,20.54975,19.97896,21.13254,Significantly higher
Golden Plains (S),Asthma ever diagnosed,27.14989,19.9574,19.24135,20.69326,Significantly higher
Golden Plains (S),Cancer,8.483145,8.055676,7.650898,8.479904,Significantly higher
Golden Plains (S),Type 2 diabetes,4.492597,5.452335,5.114101,5.81157,Significantly lower
Golden Plains (S),Heart disease,7.604714,6.74474,6.381202,7.127412,Significantly higher
Golden Plains (S),Osteoporosis,3.628049,5.669229,5.326293,6.032838,Significantly lower
Golden Plains (S),Stroke,2.711054,2.364184,2.142138,2.608632,Significantly higher
Golden Plains (S),Two or more chronic diseases,26.30755,25.48854,24.80298,26.18645,Significantly higher
Golden Plains (S),Had a blood lipids test in last 2 years,51.94463,56.78789,55.95063,57.62128,Significantly lower
Golden Plains (S),Had a blood pressure test in last 2 years,72.92082,79.5963,78.80486,80.36555,Significantly lower
Golden Plains (S),Had a blood glucose test in last 2 years,47.52022,50.72365,49.86354,51.58334,Significantly lower
Golden Plains (S),Had a faecal occult blood test 50 years of age,57.46506,60.14296,58.76671,61.50336,Significantly lower
Golden Plains (S),Had a bowel exam to detect cancer last 5 years,43.6101,46.75256,45.59576,47.91285,Significantly lower
Golden Plains (S),Had a mammogram to detect cancer in last 2 years,79.48964,79.2266,77.66267,80.70823,Not sig. diff.
Greater Bendigo (C),Obese,22.44246,19.26897,18.58293,19.97411,Significantly higher
Greater Bendigo (C),Overweight,60.34932,50.80429,49.90919,51.69888,Significantly higher
Greater Bendigo (C),Daily consumer of sugar sweetened soft drinks,10.18756,10.09867,9.516874,10.71183,Not sig. diff.
Greater Bendigo (C),Take away food consumed >1 day/week,15.33134,15.2893,14.59565,16.00974,Not sig. diff.
Greater Bendigo (C),Sedentary (inactive),2.642,2.539791,2.256574,2.857514,Not sig. diff.
Greater Bendigo (C),Insufficiently physically active,39.1305,44.08774,43.18836,44.99101,Significantly lower
Greater Bendigo (C),Complied with vegetable consumption guidelines,8.240013,5.388293,5.0284,5.77238,Significantly higher
Greater Bendigo (C),Complied with fruit consumption guidelines,43.30526,43.19355,42.28772,44.10395,Not sig. diff.
Greater Bendigo (C),Daily smoker,12.36415,12.42754,11.80477,13.0783,Not sig. diff.
Greater Bendigo (C),Current (i.e. daily or occasional smoker),14.13476,16.741,16.03742,17.46903,Significantly lower
Greater Bendigo (C),Increased lifetime risk of alcohol related harm,62.6243,59.48907,58.59407,60.37781,Significantly higher
Greater Bendigo (C),Incr. risk of injury from a single occasion of drinking,48.15144,42.98549,42.10708,43.86834,Significantly higher
Greater Bendigo (C),Fair or poor self reported health,23.77877,20.28965,19.55869,21.04079,Significantly higher
Greater Bendigo (C),Low or medium life satisfaction,25.19351,20.45532,19.69321,21.23913,Significantly higher
Greater Bendigo (C),High or very high levels of psychological distress,17.71,15.43,14.75,16.14,Significantly higher
Greater Bendigo (C),Doctor diagnosed hypertension,25.44533,25.42567,24.74985,26.11354,Not sig. diff.
Greater Bendigo (C),Anxiety or depression,35.91471,27.36389,26.566,28.17655,Significantly higher
Greater Bendigo (C),Arthritis,28.70661,20.54975,19.97896,21.13254,Significantly higher
Greater Bendigo (C),Asthma ever diagnosed,28.48414,19.9574,19.24135,20.69326,Significantly higher
Greater Bendigo (C),Cancer,12.0306,8.055676,7.650898,8.479904,Significantly higher
Greater Bendigo (C),Type 2 diabetes,5.199913,5.452335,5.114101,5.81157,Not sig. diff.
Greater Bendigo (C),Heart disease,7.811157,6.74474,6.381202,7.127412,Significantly higher
Greater Bendigo (C),Osteoporosis,7.679303,5.669229,5.326293,6.032838,Significantly higher
Greater Bendigo (C),Stroke,2.522422,2.364184,2.142138,2.608632,Not sig. diff.
Greater Bendigo (C),Two or more chronic diseases,32.78785,25.48854,24.80298,26.18645,Significantly higher
Greater Bendigo (C),Had a blood lipids test in last 2 years,48.11097,56.78789,55.95063,57.62128,Significantly lower
Greater Bendigo (C),Had a blood pressure test in last 2 years,80.22686,79.5963,78.80486,80.36555,Not sig. diff.
Greater Bendigo (C),Had a blood glucose test in last 2 years,43.66894,50.72365,49.86354,51.58334,Significantly lower
Greater Bendigo (C),Had a faecal occult blood test 50 years of age,64.52213,60.14296,58.76671,61.50336,Significantly higher
Greater Bendigo (C),Had a bowel exam to detect cancer last 5 years,54.2964,46.75256,45.59576,47.91285,Significantly higher
Greater Bendigo (C),Had a mammogram to detect cancer in last 2 years,83.94849,79.2266,77.66267,80.70823,Significantly higher
Greater Dandenong (C),Obese,14.89859,19.26897,18.58293,19.97411,Significantly lower
Greater Dandenong (C),Overweight,46.81035,50.80429,49.90919,51.69888,Significantly lower
Greater Dandenong (C),Daily consumer of sugar sweetened soft drinks,11.27256,10.09867,9.516874,10.71183,Significantly higher
Greater Dandenong (C),Take away food consumed >1 day/week,15.58052,15.2893,14.59565,16.00974,Not sig. diff.
Greater Dandenong (C),Sedentary (inactive),7.061939,2.539791,2.256574,2.857514,Significantly higher
Greater Dandenong (C),Insufficiently physically active,50.94757,44.08774,43.18836,44.99101,Significantly higher
Greater Dandenong (C),Complied with vegetable consumption guidelines,1.486381,5.388293,5.0284,5.77238,Significantly lower
Greater Dandenong (C),Complied with fruit consumption guidelines,37.92237,43.19355,42.28772,44.10395,Significantly lower
Greater Dandenong (C),Daily smoker,18.53712,12.42754,11.80477,13.0783,Significantly higher
Greater Dandenong (C),Current (i.e. daily or occasional smoker),21.0698,16.741,16.03742,17.46903,Significantly higher
Greater Dandenong (C),Increased lifetime risk of alcohol related harm,41.30845,59.48907,58.59407,60.37781,Significantly lower
Greater Dandenong (C),Incr. risk of injury from a single occasion of drinking,25.00112,42.98549,42.10708,43.86834,Significantly lower
Greater Dandenong (C),Fair or poor self reported health,25.28401,20.28965,19.55869,21.04079,Significantly higher
Greater Dandenong (C),Low or medium life satisfaction,26.57729,20.45532,19.69321,21.23913,Significantly higher
Greater Dandenong (C),High or very high levels of psychological distress,22.11,15.43,14.75,16.14,Significantly higher
Greater Dandenong (C),Doctor diagnosed hypertension,24.37558,25.42567,24.74985,26.11354,Significantly lower
Greater Dandenong (C),Anxiety or depression,18.90591,27.36389,26.566,28.17655,Significantly lower
Greater Dandenong (C),Arthritis,18.17803,20.54975,19.97896,21.13254,Significantly lower
Greater Dandenong (C),Asthma ever diagnosed,15.15223,19.9574,19.24135,20.69326,Significantly lower
Greater Dandenong (C),Cancer,6.732395,8.055676,7.650898,8.479904,Significantly lower
Greater Dandenong (C),Type 2 diabetes,6.089762,5.452335,5.114101,5.81157,Significantly higher
Greater Dandenong (C),Heart disease,6.624339,6.74474,6.381202,7.127412,Not sig. diff.
Greater Dandenong (C),Osteoporosis,6.577807,5.669229,5.326293,6.032838,Significantly higher
Greater Dandenong (C),Stroke,2.189421,2.364184,2.142138,2.608632,Not sig. diff.
Greater Dandenong (C),Two or more chronic diseases,20.06416,25.48854,24.80298,26.18645,Significantly lower
Greater Dandenong (C),Had a blood lipids test in last 2 years,64.31379,56.78789,55.95063,57.62128,Significantly higher
Greater Dandenong (C),Had a blood pressure test in last 2 years,78.59214,79.5963,78.80486,80.36555,Significantly lower
Greater Dandenong (C),Had a blood glucose test in last 2 years,55.75492,50.72365,49.86354,51.58334,Significantly higher
Greater Dandenong (C),Had a faecal occult blood test 50 years of age,61.57409,60.14296,58.76671,61.50336,Significantly higher
Greater Dandenong (C),Had a bowel exam to detect cancer last 5 years,39.8831,46.75256,45.59576,47.91285,Significantly lower
