LGA_2016,Local Government Areas - 2016,SEIFAINDEXTYPE,Index Type,SEIFA_MEASURE,Measure,TIME,Time,Value,Flag Codes,Flags
24650,Melton (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1088,,
24650,Melton (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,135443,,
24780,Mildura (RC),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,928,,
24780,Mildura (RC),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,143,,
24780,Mildura (RC),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,3,,
24780,Mildura (RC),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,27,,
24780,Mildura (RC),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,6,,
24780,Mildura (RC),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,1,,
24780,Mildura (RC),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,8,,
24780,Mildura (RC),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,657,,
24780,Mildura (RC),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1076,,
24780,Mildura (RC),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,53878,,
24850,Mitchell (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,948,,
24850,Mitchell (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,240,,
24850,Mitchell (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,5,,
24850,Mitchell (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,44,,
24850,Mitchell (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,18,,
24850,Mitchell (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,3,,
24850,Mitchell (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,23,,
24850,Mitchell (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,777,,
24850,Mitchell (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1092,,
24850,Mitchell (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,40918,,
24900,Moira (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,928,,
24900,Moira (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,147,,
24900,Moira (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,3,,
24900,Moira (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,27,,
24900,Moira (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,7,,
24900,Moira (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,1,,
24900,Moira (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,9,,
24900,Moira (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,776,,
24900,Moira (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1070,,
24900,Moira (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,29112,,
24970,Monash (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1082,,
24970,Monash (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,497,,
24970,Monash (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
24970,Monash (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,92,,
24970,Monash (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,71,,
24970,Monash (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
24970,Monash (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,88,,
24970,Monash (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,905,,
24970,Monash (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1189,,
24970,Monash (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,182618,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1059,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,482,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,89,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,66,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,82,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,648,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1170,,
25060,Moonee Valley (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,116671,,
25150,Moorabool (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,974,,
25150,Moorabool (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,342,,
25150,Moorabool (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
25150,Moorabool (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,63,,
25150,Moorabool (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,36,,
25150,Moorabool (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
25150,Moorabool (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,45,,
25150,Moorabool (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,828,,
25150,Moorabool (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1145,,
25150,Moorabool (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,31818,,
25250,Moreland (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1054,,
25250,Moreland (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,479,,
25250,Moreland (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
25250,Moreland (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,88,,
25250,Moreland (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,65,,
25250,Moreland (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
25250,Moreland (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,81,,
25250,Moreland (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,870,,
25250,Moreland (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1210,,
25250,Moreland (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,162558,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1013,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,437,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,81,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,54,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,7,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,67,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,816,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1179,,
25340,Mornington Peninsula (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,154999,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1021,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,448,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,83,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,57,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,8,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,71,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,946,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1116,,
25430,Mount Alexander (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,18761,,
25490,Moyne (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1007,,
25490,Moyne (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,431,,
25490,Moyne (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,8,,
25490,Moyne (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,79,,
25490,Moyne (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,53,,
25490,Moyne (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,7,,
25490,Moyne (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,66,,
25490,Moyne (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,902,,
25490,Moyne (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1134,,
25490,Moyne (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,16495,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,980,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,366,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,68,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,41,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,51,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,867,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1097,,
25620,Murrindindi (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,13732,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1081,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,495,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,91,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,70,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,87,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,941,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1182,,
25710,Nillumbik (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,61273,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,931,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,161,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,3,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,30,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,9,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,2,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,12,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,807,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1132,,
25810,Northern Grampians (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,11439,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1150,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,527,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,97,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,78,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,97,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,858,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1228,,
25900,Port Phillip (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,100863,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,960,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,286,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,53,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,22,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,3,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,28,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,858,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1114,,
25990,Pyrenees (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,7238,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1121,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,514,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,95,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,74,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,92,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1061,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1213,,
26080,Queenscliffe (B),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,2853,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,970,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,328,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,61,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,33,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,41,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,794,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1079,,
26170,South Gippsland (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,28703,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,982,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,370,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,68,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,42,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,52,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,833,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1170,,
26260,Southern Grampians (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,15944,,
26350,Stonnington (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1160,,
26350,Stonnington (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,532,,
26350,Stonnington (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
26350,Stonnington (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,98,,
26350,Stonnington (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,80,,
26350,Stonnington (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
26350,Stonnington (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,99,,
26350,Stonnington (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,819,,
26350,Stonnington (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1221,,
26350,Stonnington (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,103832,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,982,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,371,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,68,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,43,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,54,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,850,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1097,,
26430,Strathbogie (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,10274,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1076,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,491,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,90,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,68,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,84,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,870,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1139,,
26490,Surf Coast (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,29397,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,939,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,194,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,4,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,36,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,12,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,2,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,15,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,758,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1104,,
26610,Swan Hill (RC),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,20584,,
26670,Towong (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,987,,
26670,Towong (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,389,,
26670,Towong (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,8,,
26670,Towong (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,72,,
26670,Towong (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,46,,
26670,Towong (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
26670,Towong (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,57,,
26670,Towong (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,889,,
26670,Towong (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1064,,
26670,Towong (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,5985,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,976,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,348,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,64,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,38,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,47,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,767,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1090,,
26700,Wangaratta (RC),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,28310,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,963,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,296,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,55,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,25,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,4,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,31,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,703,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1090,,
26730,Warrnambool (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,33655,,
26810,Wellington (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,954,,
26810,Wellington (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,265,,
26810,Wellington (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,5,,
26810,Wellington (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,49,,
26810,Wellington (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,20,,
26810,Wellington (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,3,,
26810,Wellington (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,25,,
26810,Wellington (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,731,,
26810,Wellington (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1182,,
26810,Wellington (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,42983,,
26890,West Wimmera (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1006,,
26890,West Wimmera (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,428,,
26890,West Wimmera (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,8,,
